date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
1989-02-01,28.4,,2255.21,5335.97,,,,,
1989-03-01,27.0,,2099.07,5252.51,,,,,
1989-04-01,26.6,,2068.58,5311.0,,,,,
1989-05-01,24.8,,2036.78,5323.6,,,,,
1989-06-01,22.8,,2081.09,5268.81,,,,,
1989-07-01,19.4,,2089.25,5262.66,,,,,
1989-08-01,15.3,,2080.28,5293.77,,,,,
1989-09-01,11.5,,2082.42,5300.36,,,,,
1989-10-01,8.6,,2118.14,5406.82,,,,,
1989-11-01,7.4,,2201.06,5632.14,,,,,
1989-12-01,6.6,16992.3,2344.02,5830.51,,,,,
1990-01-01,4.3,,2624.6,6028.46,,,,,
1990-02-01,4.4,,2287.2,5661.44,,,,,
1990-03-01,3.4,,2154.64,5655.65,,,,,
1990-04-01,3.2,,2129.69,5746.54,,,,,
1990-05-01,2.7,,2090.05,5782.38,,,,,
1990-06-01,1.1,,2096.2,5805.02,,,,,
1990-07-01,1.1,,2132.06,5920.52,,,,,
1990-08-01,2.5,,2178.77,6073.84,,,,,
1990-09-01,2.9,,2300.44,6327.76,,,,,
1990-10-01,3.1,,2383.23,6433.8,,,,,
1990-11-01,4.3,,2490.03,6669.86,,,,,
1990-12-01,3.7,18667.8,2644.4,6950.7,15293.4,,,,
1991-01-01,2.2,,2836.7,7250.21,,,,,
1991-02-01,1.8,,2815.36,7159.6,,,,,
1991-03-01,1.6,,2585.61,7069.07,,,,,
1991-04-01,1.3,,2526.81,7164.47,,,,,
1991-05-01,3.6,,2486.85,7280.88,,,,,
1991-06-01,4.4,,2517.25,7280.76,,,,,
1991-07-01,4.7,,2581.1,7462.47,,,,,
1991-08-01,4.9,,2632.08,7669.99,,,,,
1991-09-01,4.5,,2730.03,7972.06,,,,,
1991-10-01,4.8,,2879.34,8243.34,,,,,
1991-11-01,4.4,,3002.58,8549.05,,,,,
1991-12-01,4.5,21781.5,3177.8,8633.3,19349.9,,,,
1992-01-01,5.5,,3824.24,9231.11,,,,,
1992-02-01,5.3,,3274.89,8810.49,,,,,
1992-03-01,5.3,4974.3,3117.18,8872.65,,,,,
1992-04-01,7.1,,3121.2,9194.51,,,,,
1992-05-01,4.7,,3111.18,9459.65,,,,,
1992-06-01,4.8,11332.1,3155.92,9666.65,,,,,
1992-07-01,5.2,,3278.63,10157.21,,,,,
1992-08-01,5.8,,3387.53,10520.73,,,,,
1992-09-01,7.5,18451.5,3559.38,10556.36,,,,,
