日期,RQ,status,physical power,fatigue
2024-10-14,51.6,-0.3,16.1,16.4
2024-10-15,51.6,-0.2,16,16.3
2024-10-16,51.7,-1.2,16.2,17.4
2024-10-17,51.7,-0.2,16,16.2
2024-10-19,51.8,-0.9,16.1,17
2024-10-20,51.9,-0.7,16,16.7
2024-10-21,51.9,-0.3,15.9,16.2
2024-10-22,52,-1.1,16.1,17.1
2024-10-24,51.9,-1.4,16.1,17.4
2024-10-25,51.9,-0.9,16,16.8
2024-10-27,51.8,-2.7,16.3,19
2024-10-28,51.8,-2.7,16.3,19
2024-10-29,51.7,-2.2,16.2,18.4
2024-10-30,51.8,-2,16.2,18.3
2024-10-31,51.7,-2,16.3,18.3
2024-11-03,51.6,-2.3,16.2,18.6
2024-11-04,51.6,-2,16.2,18.2
2024-11-05,51.6,-3.1,16.4,19.6
2024-11-06,51.6,-1.5,16.2,17.7
2024-11-08,51.6,-1.7,16.2,17.9
2024-11-09,51.6,0,15.9,15.9
2024-11-10,51.6,-2.2,16.3,18.4
2024-11-11,51.5,-1.4,16.1,17.6
2024-11-12,51.5,-1.2,16.1,17.3
2024-11-14,51.4,-0.1,15.9,16
2024-11-15,51.4,-2.1,16.2,18.4
2024-11-16,51.4,-3.3,16.5,19.8
2024-11-18,51.3,-1.6,16.2,17.8
2024-11-19,51.3,-1.3,16.1,17.4
2024-11-20,51.4,-1.8,16.2,18
2024-11-22,51.3,1.5,15.6,14.1
2024-11-22,51.3,-1.4,16.1,17.5
2024-11-24,51.2,-1.1,16,17.1
2024-11-26,51.2,1,15.5,14.5
2024-11-27,51.1,-1.6,16,17.6
2024-11-28,51.0,-0.9,15.9,16.8
2024-11-29,51.1,-0.4,15.8,16.1
2024-12-01,50.9,1.1,15.4,14.3
2024-12-03,50.9,2.6,14.9,12.3
2024-12-04,50.8,2.2,14.9,12.8
2024-12-05,50.8,-2.3,15.7,18
2024-12-06,50.8,-0.9,15.5,16.4
2024-12-08,50.8,-2.5,15.7,18.2
2024-12-09,50.8,-1.6,15.6,17.3
2024-12-11,50.8,-2.6,15.8,18.4
2024-12-12,50.8,-1.4,15.6,17
2024-12-13,50.8,-0.7,15.4,16.2
2024-12-14,50.7,-1.4,15.6,16.9
2024-12-15,50.7,-3.6,16,19.6
2024-12-16,50.8,-2.8,15.9,18.7
2024-12-18,50.7,-0.5,15.5,15.9
2024-12-19,50.7,0.2,15.3,15.1
2024-12-20,50.8,-2.5,15.8,18.3
2024-12-21,50.8,-0.6,15.5,16.1
2024-12-27,50.6,6.2,13.6,7.4
2024-12-28,50.7,6.2,13.4,7.2
2024-12-29,50.6,4.5,13.5,9
2024-12-30,50.6,4.4,13.4,9
2024-12-31,50.6,2.8,13.6,10.7
2025-01-01,50.6,3,13.4,10.4
